ID,Company Name,Industry,Location,VR Potential Score (%),Status
98,foodpanda,internet,"Singapore, Singapore",64,New
99,DBS Bank,banking,"Singapore, Singapore",77,New
100,Layang Layang Aerospace,aviation & aerospace,"Miri, Malaysia",93,New
101,Straive,management consulting,"Singapore, Singapore",88,New
102,EMAS GROUP,oil & energy,"Singapore, Singapore",64,New
103,PERSOL APAC,human resources,"Singapore, Singapore",95,New
104,Synergy Marine Group,maritime,"Singapore, Singapore",97,New
105,AIROD Aerospace Technology,aviation & aerospace,"Shah Alam, Malaysia",80,New
106,Changi Airport Group,aviation & aerospace,"Singapore, Singapore",84,New
107,Velesto Energy Berhad,oil & energy,"Kuala Lumpur, Malaysia",97,New
108,Muhibbah Engineering (M) BHD.,construction,"Klang, Malaysia",87,New
109,Universiti Kuala Lumpur,education management,"Kuala Lumpur, Malaysia",95,New
110,KPJ Healthcare Bhd,hospital & health care,"Kuala Lumpur, Malaysia",80,New
111,Agoda,information technology & services,"Singapore, Singapore",83,New
112,Civil Aviation Authority of Malaysia,aviation & aerospace,Malaysia,88,New
113,PetroChina International (Singapore),oil & energy,"Singapore, Singapore",66,New
114,Leopad Group,oil & energy,"Kuala Lumpur, Malaysia",67,New
115,Hartalega,medical devices,"Sepang, Malaysia",97,New
116,BW Group,maritime,"Singapore, Singapore",63,New
117,Nanyang Technological University Singapore,higher education,"Singapore, Singapore",72,New
118,"A*STAR - Agency for Science, Technology and Research",research,"Singapore, Singapore",65,New
119,IMC Ship Services,maritime,"Singapore, Singapore",66,New
120,"Atlantic, Gulf & Pacific Company (AG&P)",oil & energy,"Singapore, Singapore",78,New
121,DRB-HICOM Berhad,automotive,"Shah Alam, Malaysia",67,New
122,Sembcorp Marine Ltd,shipbuilding,"Singapore, Singapore",83,New
123,Boeing Composites Malaysia,aviation & aerospace,"Bukit Kayu Hitam, Malaysia",62,New
124,Keppel Offshore & Marine,maritime,"Singapore, Singapore",91,New
125,PACC Offshore Services Holdings Ltd,maritime,"Singapore, Singapore",64,New
126,Zenix Aerospace Upeca,aviation & aerospace,"Shah Alam, Malaysia",99,New
127,Olam,food & beverages,"Singapore, Singapore",74,New
128,Petron Malaysia Refining & Marketing Bhd,oil & energy,"Kuala Lumpur, Malaysia",85,New
129,Nanyang Polytechnic,higher education,"Singapore, Singapore",60,New
130,EnergyEdge - PetroEdge & PowerEdge,professional training & coaching,"Singapore, Singapore",73,New
131,GAMUDA,construction,"Petaling Jaya, Malaysia",77,New
132,Crypto.com,financial services,"Singapore, Singapore",83,New
133,Antares Marine,maritime,"Singapore, Singapore",63,New
