ID,Company Name,Industry,Location,VR Potential Score (%),Status
395,Maker Lab,marketing & advertising,"Singapore, Singapore",66,New
396,SharkNinja APAC,electrical/electronic manufacturing,"Singapore, Singapore",89,New
397,Millennium Hotels and Resorts,hospitality,"Singapore, Singapore",82,New
398,CTRM Aviation Sdn Bhd,airlines/aviation,"Batu Berendam, Malaysia",64,New
399,Carigali Hess Operating Company Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",85,New
400,Republic Polytechnic,higher education,"Singapore, Singapore",93,New
401,Sealand – A Maersk Company,transportation/trucking/railroad,"Singapore, Singapore",96,New
402,Tan Tock Seng Hospital,hospital & health care,"Singapore, Singapore",69,New
403,Ferrotec Manufacturing Malaysia,semiconductors,"Kulim, Malaysia",94,New
404,Hallin Marine,oil & energy,"Singapore, Singapore",87,New
405,PEOPLE PROFILERS,staffing & recruiting,"Singapore, Singapore",99,New
406,Ranosys,information technology & services,"Singapore, Singapore",80,New
407,TMM Engineering Services Sdn. Bhd.,oil & energy,"Kijal, Malaysia",75,New
408,Jurong Port,logistics & supply chain,"Singapore, Singapore",76,New
409,SK Energy International,oil & energy,"Singapore, Singapore",63,New
410,First Resources Ltd.,farming,"Singapore, Singapore",78,New
411,Strategic Marine,shipbuilding,"Singapore, Singapore",83,New
412,Sapura Baker Hughes TPS Sdn Bhd,oil & energy,"Shah Alam, Malaysia",75,New
413,DELEUM,oil & energy,"Kuala Lumpur, Malaysia",65,New
414,Jebsen & Jessen Group,international trade & development,"Singapore, Singapore",87,New
415,Emerald Clinical,research,"Singapore, Singapore",60,New
416,Petroleum Sarawak Berhad,oil & energy,"Kuching, Malaysia",82,New
417,Singapore Management University,higher education,"Singapore, Singapore",64,New
418,Institute of Technical Education,higher education,"Singapore, Singapore",69,New
419,Menarini Asia-Pacific,pharmaceuticals,"Singapore, Singapore",98,New
420,ROTORTRADE,aviation & aerospace,"Singapore, Singapore",74,New
421,GE Vernova in Asia,environmental services,"Singapore, Singapore",69,New
422,Dart Global Logistics,logistics & supply chain,"Singapore, Singapore",94,New
423,NIPSEA Group I Nippon Paint,chemicals,"Singapore, Singapore",79,New
424,Cekap Technical Services Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",67,New
425,Tiong Woon Corporation Holding Ltd,transportation/trucking/railroad,"Singapore, Singapore",86,New
426,Duopharma Biotech Berhad,pharmaceuticals,"Kuala Lumpur, Malaysia",84,New
427,The Straits Times,publishing,"Singapore, Singapore",95,New
428,Hanwha Offshore Singapore,oil & energy,"Singapore, Singapore",83,New
429,PLUS Malaysia,consumer services,"Petaling Jaya, Malaysia",91,New
430,Sustainability Economics.ai,information technology & services,"Singapore, Singapore",95,New
431,Mapletree,real estate,"Singapore, Singapore",76,New
432,Uzma Group,oil & energy,"Petaling Jaya, Malaysia",65,New
433,Maxis,telecommunications,"Kuala Lumpur, Malaysia",73,New
434,MRCB,construction,"Kuala Lumpur, Malaysia",98,New
435,HMI Managed Healthcare,"health, wellness & fitness","Singapore, Singapore",75,New
436,CHI - Centre for Healthcare Innovation,hospital & health care,"Singapore, Singapore",90,New
437,Bachy Soletanche Singapore,construction,"Singapore, Singapore",99,New
438,Hi-P International,electrical/electronic manufacturing,"Singapore, Singapore",95,New
439,Proton,automotive,"Subang Jaya, Malaysia",74,New
440,Pentamaster Corporation Berhad (Official),semiconductors,"Bayan Lepas, Malaysia",84,New
441,Suruhanjaya Perkhidmatan Awam Malaysia (SPA),government administration,"Putrajaya, Malaysia",69,New
442,Kajima (Malaysia) Sdn. Bhd.,construction,"Kuala Lumpur, Malaysia",82,New
443,Maritime and Port Authority of Singapore (MPA),maritime,"Singapore, Singapore",98,New
444,DP Architects,architecture & planning,"Singapore, Singapore",95,New
445,Marina Bay Sands,hospitality,"Singapore, Singapore",98,New
446,HIAP SENG ENGINEERING LTD,construction,"Singapore, Singapore",78,New
447,Xepa-Soul Pattinson (Malaysia) Sdn Bhd,pharmaceuticals,"Cheng, Malaysia",95,New
448,APACS - Asia Pacific Aircraft Component Services Sdn Bhd,airlines/aviation,"Shah Alam, Malaysia",73,New
449,Hengyuan Refining Company Berhad,oil & energy,"Port Dickson, Malaysia",92,New
450,TURCOMP BMB SDN BHD,machinery,"Shah Alam, Malaysia",98,New
451,Novugen,pharmaceuticals,"Shah Alam, Malaysia",64,New
452,CXC,human resources,"Singapore, Singapore",94,New
453,PETRONAS Chemicals Group Berhad (PCG),oil & energy,"Kuala Lumpur, Malaysia",88,New
454,LexCorp Industries Norge,aviation & aerospace,"Singapore, Singapore",89,New
455,Cutech Group,oil & energy,"Singapore, Singapore",63,New
456,HAS International,airlines/aviation,"Subang Jaya, Malaysia",65,New
457,NTT DATA Asia Pacific,information technology & services,"Singapore, Singapore",87,New
458,Kingfisher HR Solutions Group,staffing & recruiting,"Singapore, Singapore",88,New
459,Malaysia Healthcare Travel Council,hospital & health care,"Kuala Lumpur, Malaysia",79,New
460,Clearpack Group,machinery,"Singapore, Singapore",73,New
461,Universiti Putra Malaysia,higher education,"Serdang, Malaysia",66,New
462,Arth,construction,"Singapore, Singapore",92,New
463,Filtrona,mechanical or industrial engineering,"Singapore, Singapore",78,New
464,National University Hospital,hospital & health care,"Singapore, Singapore",65,New
465,ENGIE South East Asia,utilities,"Singapore, Singapore",83,New
466,ZEE Engineering Group,oil & energy,"Petaling Jaya, Malaysia",72,New
467,Asia Pacific University of Technology and Innovation (APU / APIIT),higher education,"Kuala Lumpur, Malaysia",75,New
468,CFLD International,real estate,"Singapore, Singapore",73,New
469,Goodpack,logistics & supply chain,"Singapore, Singapore",83,New
470,Pacific Radiance Ltd,maritime,"Singapore, Singapore",63,New
471,Vena Group,renewables & environment,"Singapore, Singapore",95,New
472,AERODYNE GROUP,aviation & aerospace,"Cyberjaya, Malaysia",77,New
473,PKT Logistics Group Sdn Bhd,logistics & supply chain,"Shah Alam, Malaysia",88,New
474,Malaysia Rapid Transit Corporation Sdn Bhd (MRT Corp),construction,"Kuala Lumpur, Malaysia",94,New
475,U3 Infotech,information technology & services,"Singapore, Singapore",61,New
476,Gulf Marine,oil & energy,"Singapore, Singapore",99,New
477,Anchanto,information technology & services,"Singapore, Singapore",67,New
478,EPIC Berhad,oil & energy,"Teluk Kalong, Malaysia",66,New
479,Accord Innovations,information technology & services,"Singapore, Singapore",84,New
480,Sime Motors,automotive,Malaysia,83,New
481,Aditya Birla Global Trading (formerly Swiss Singapore),international trade & development,"Singapore, Singapore",71,New
482,Duke-NUS Medical School,higher education,"Singapore, Singapore",76,New
483,SeaLead,logistics & supply chain,"Singapore, Singapore",94,New
484,Navig8 Group,maritime,"Singapore, Singapore",60,New
485,MIMS Pte Ltd,hospital & health care,"Singapore, Singapore",65,New
486,Manufacturing Integration Technology Ltd,machinery,"Singapore, Singapore",92,New
487,YCH Group,logistics & supply chain,"Singapore, Singapore",98,New
488,BP Healthcare Group,hospital & health care,"Shah Alam, Malaysia",79,New
489,KCPL,oil & energy,"Singapore, Singapore",75,New
490,NYK SHIPMANAGEMENT PTE LTD,maritime,"Singapore, Singapore",73,New
491,Singapore Post,logistics & supply chain,"Singapore, Singapore",66,New
492,Port of Tanjung Pelepas,maritime,"Gelang Patah, Malaysia",80,New
493,SD Guthrie International,international trade & development,"Petaling Jaya, Malaysia",99,New
494,Bluewhale Offshore,oil & energy,"Singapore, Singapore",62,New
495,AAL Shipping,maritime,"Singapore, Singapore",85,New
496,Ministry of Health (Singapore),government administration,"Singapore, Singapore",73,New
497,S P Setia,real estate,"Shah Alam, Malaysia",67,New
498,Technical University of Munich (TUM) Asia,higher education,"Singapore, Singapore",63,New
499,WCT Holdings Berhad,construction,"Petaling Jaya, Malaysia",98,New
500,Talent Corporation Malaysia Berhad (TalentCorp),government relations,"Petaling Jaya, Malaysia",92,New
501,FUJIFILM Healthcare Asia Pacific,medical devices,"Singapore, Singapore",84,New
502,Fuji Electric (Malaysia) Sdn. Bhd.,semiconductors,"Kulim, Malaysia",66,New
503,Temus,management consulting,"Singapore, Singapore",63,New
504,Teleport,logistics & supply chain,"Kuala Lumpur, Malaysia",65,New
505,Malaysia Digital Economy Corporation (MDEC),government relations,"Cyberjaya, Malaysia",82,New
506,National Trades Union Congress (NTUC),nonprofit organization management,"Singapore, Singapore",76,New
507,Ngai Chin Construction Pte Ltd,construction,"Singapore, Singapore",74,New
508,Land Transport Authority (LTA) Singapore,government administration,"Singapore, Singapore",91,New
509,GreyB,management consulting,"Singapore, Singapore",99,New
510,FIBS Logistics,logistics & supply chain,"Singapore, Singapore",86,New
511,Fong’s Engineering and Manufacturing Pte Ltd,medical devices,"Singapore, Singapore",96,New
512,Pan Pacific Hotels Group,hospitality,"Singapore, Singapore",79,New
513,YTL Corporation Bhd,construction,"Kuala Lumpur, Malaysia",68,New
514,GLP,real estate,"Singapore, Singapore",86,New
515,HRSB Holdings Sdn Bhd,oil & energy,"Masjid Tanah, Malaysia",80,New
516,Oceancare Corporation Sdn. Bhd. (Official),outsourcing/offshoring,"Miri, Malaysia",98,New
517,TUFF,oil & energy,"Singapore, Singapore",89,New
518,NAIM Holdings Berhad,real estate,"Kuching, Malaysia",67,New
519,Pteris Global Limited,airlines/aviation,"Singapore, Singapore",82,New
520,Manus AI,information technology & services,"Singapore, Singapore",82,New
521,Thome Offshore Management Pte Ltd,maritime,"Singapore, Singapore",84,New
522,Jadestone Energy,oil & energy,"Singapore, Singapore",69,New
523,ADA,management consulting,"Singapore, Singapore",80,New
524,ALPS Pte. Ltd.,logistics & supply chain,"Singapore, Singapore",96,New
525,Alliance to End Plastic Waste,environmental services,"Singapore, Singapore",87,New
526,IMDA,government administration,"Singapore, Singapore",93,New
527,World Cargo Airlines (WCA),airlines/aviation,"Dengkil, Malaysia",82,New
528,Scomi Group Bhd,oil & energy,"Petaling Jaya, Malaysia",75,New
529,Vance Bioenergy Sdn. Bhd.,chemicals,"Pasir Gudang, Malaysia",61,New
530,Mirxes,research,"Singapore, Singapore",75,New
531,HHA ASSOCIATES SDN BHD,oil & energy,"Kuala Lumpur, Malaysia",64,New
532,iNova Pharmaceuticals,pharmaceuticals,"Singapore, Singapore",90,New
533,Hovid Bhd,pharmaceuticals,"Ipoh, Malaysia",83,New
534,Tokio Marine Insurance Group (Asia),insurance,"Singapore, Singapore",75,New
535,Pengerang Terminals Sdn Bhd,logistics & supply chain,"Pengerang, Malaysia",63,New
536,Doctor Anywhere,hospital & health care,"Singapore, Singapore",61,New
537,Milvik Bima,consumer services,"Singapore, Singapore",82,New
538,HMI Medical,hospital & health care,"Singapore, Singapore",84,New
539,Pecca Group Berhad,mechanical or industrial engineering,"Kuala Lumpur, Malaysia",69,New
540,CoverGo | Insurtech,insurance,"Singapore, Singapore",60,New
541,Mindvalley,e-learning,"Kuala Lumpur, Malaysia",64,New
542,Singapore Institute of Management,government administration,"Singapore, Singapore",98,New
543,Melorita Healthcare,staffing & recruiting,"Petaling Jaya, Malaysia",83,New
544,VME,oil & energy,"Puchong, Malaysia",93,New
545,Executive Offshore,oil & energy,"Singapore, Singapore",67,New
546,Pioneer Engineering Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",66,New
547,Asia Infrastructure Solutions,construction,"Singapore, Singapore",98,New
548,Singapore Component Solutions,airlines/aviation,"Singapore, Singapore",70,New
549,Sunway Medical Centre,hospital & health care,"Subang Jaya, Malaysia",95,New
550,Bitdeer (NASDAQ: BTDR),information technology & services,"Singapore, Singapore",79,New
551,Pavilion Energy,oil & energy,"Singapore, Singapore",96,New
552,Agrocorp International,international trade & development,"Singapore, Singapore",71,New
553,UEM Sunrise Berhad,real estate,"Kuala Lumpur, Malaysia",92,New
554,PRISM+,electrical/electronic manufacturing,"Singapore, Singapore",95,New
555,Universiti Sains Malaysia,higher education,"Gelugor, Malaysia",84,New
556,NS BlueScope,building materials,"Singapore, Singapore",74,New
557,NTUC LearningHub,professional training & coaching,"Singapore, Singapore",75,New
558,GASOFFSHORE,staffing & recruiting,"Miri, Malaysia",92,New
559,FatHopes Energy,renewables & environment,"Petaling Jaya, Malaysia",89,New
560,Ministry of Defence of Singapore,government administration,"Singapore, Singapore",64,New
561,Carimin Sdn. Bhd.,oil & energy,"Kuala Lumpur, Malaysia",98,New
562,Eruditus,government administration,"Singapore, Singapore",75,New
563,Malaysia Board of Technologists,nonprofit organization management,"Putrajaya, Malaysia",72,New
564,nSearch Global,information technology & services,"Singapore, Singapore",78,New
565,The Business Times,publishing,"Singapore, Singapore",71,New
566,EFTECH Energy Solutions,oil & energy,"Kuala Lumpur, Malaysia",93,New
567,PAPE Engineering Pte Ltd,oil & energy,"Singapore, Singapore",75,New
568,Avetics Global,mechanical or industrial engineering,"Singapore, Singapore",98,New
569,Yokogawa ASEAN,machinery,"Singapore, Singapore",82,New
570,Singapore Institute of Technology,higher education,"Singapore, Singapore",63,New
571,Synagie Group Asia & Europe,information technology & services,"Singapore, Singapore",80,New
572,Fonda Global Engineering Pte Ltd,civil engineering,"Singapore, Singapore",86,New
573,Jardine Engineering (Singapore) Pte Ltd,information technology & services,"Singapore, Singapore",92,New
574,AET,maritime,"Singapore, Singapore",64,New
575,ENEOS Xplora Malaysia Limited,oil & energy,"Kuala Lumpur, Malaysia",62,New
576,Circles,information technology & services,"Singapore, Singapore",99,New
577,Ranhill Worley Sdn Bhd,oil & energy,Malaysia,83,New
578,Ministry of Trade and Industry (Singapore),international trade & development,"Singapore, Singapore",76,New
579,ZUS COFFEE,food & beverages,"Shah Alam, Malaysia",70,New
580,UTOC Engineering Pte Ltd,machinery,"Singapore, Singapore",62,New
581,Minconsult Sdn Bhd,civil engineering,"Petaling Jaya, Malaysia",65,New
582,Recruit Express Group,human resources,"Singapore, Singapore",60,New
583,Nera Telecommunications Ltd,information technology & services,"Singapore, Singapore",80,New
584,AIA Singapore,insurance,"Singapore, Singapore",99,New
585,AI Singapore,information technology & services,"Singapore, Singapore",84,New
586,Tanoto Foundation,nonprofit organization management,"Singapore, Singapore",87,New
587,Pacific Basin Shipping Limited,maritime,"Singapore, Singapore",87,New
588,PetroChina International,oil & energy,"Singapore, Singapore",67,New
589,Chiyoda Singapore (Pte) Ltd,oil & energy,"Singapore, Singapore",79,New
590,Serba Dinamik,oil & energy,"Shah Alam, Malaysia",99,New
591,DAR Energy Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",87,New
592,Samudera Shipping Line Ltd,maritime,"Singapore, Singapore",69,New
593,BPE Energy Sdn Bhd 𝘧𝘰𝘳𝘮𝘦𝘳𝘭𝘺 𝘬𝘯𝘰𝘸𝘯 𝘢𝘴 𝘉𝘗𝘌 𝘌𝘯𝘨𝘪𝘯𝘦𝘦𝘳𝘪𝘯𝘨 & 𝘚𝘦𝘳𝘷𝘪𝘤𝘦s,renewables & environment,"Ampang, Malaysia",85,New
594,DSO National Laboratories,defense & space,"Singapore, Singapore",93,New
595,R&B Switchgear Group,electrical/electronic manufacturing,"Singapore, Singapore",65,New
596,Neurones IT Asia,information technology & services,"Singapore, Singapore",90,New
597,Agency for Integrated Care (Singapore),hospital & health care,"Singapore, Singapore",90,New
598,Verticurl,marketing & advertising,"Singapore, Singapore",65,New
599,MMC Engineering,construction,"Kuala Lumpur, Malaysia",89,New
600,Morimatsu Dialog (Malaysia),oil & energy,"Pengerang, Malaysia",88,New
601,MMC-Gamuda,construction,"Petaling Jaya, Malaysia",88,New
602,JGC ASIA PACIFIC PTE. LTD.,construction,"Singapore, Singapore",87,New
603,Ahmad Zaki Resources Berhad (AZRB),construction,"Kuala Lumpur, Malaysia",77,New
604,Genting Plantations,farming,"Kuala Lumpur, Malaysia",67,New
605,Toyota Malaysia,automotive,"Shah Alam, Malaysia",91,New
606,Yayasan Peneraju,education management,"Kuala Lumpur, Malaysia",99,New
607,m,aviation & aerospace,"Singapore, Singapore",99,New
608,ESCATEC - Providers of Electronic Manufacturing Services,electrical/electronic manufacturing,"Bayan Lepas, Malaysia",72,New
609,Nextyn,information services,"Singapore, Singapore",93,New
610,Axiata,telecommunications,"Kuala Lumpur, Malaysia",64,New
611,Sumitomo Mitsui Banking Corporation (SMBC) Asia Pacific,banking,"Singapore, Singapore",61,New
612,Changi General Hospital,hospital & health care,"Singapore, Singapore",64,New
613,Heriot-Watt University Malaysia,education management,Malaysia,96,New
614,SIRIM QAS International,international trade & development,"Shah Alam, Malaysia",90,New
615,Cantier Systems,information technology & services,"Singapore, Singapore",87,New
616,GREATECH TECHNOLOGY BERHAD,machinery,"Bayan Lepas, Malaysia",76,New
617,Universiti Tun Hussein Onn Malaysia,higher education,"Parit Raja, Malaysia",68,New
618,Star Media Group Berhad,publishing,"Petaling Jaya, Malaysia",89,New
619,Two Offshore Marine Sdn. Bhd.,oil & energy,"Kuala Lumpur, Malaysia",76,New
620,SMRT Corporation Ltd,transportation/trucking/railroad,"Singapore, Singapore",73,New
621,Guthrie Engineering (S) Pte Ltd,construction,"Singapore, Singapore",96,New
622,SleekFlow,information technology & services,"Singapore, Singapore",86,New
623,AmBank Group,financial services,"Kuala Lumpur, Malaysia",75,New
624,Secretlab,mechanical or industrial engineering,"Singapore, Singapore",91,New
625,KARGO XPRESS (M JETS INTERNATIONAL),airlines/aviation,"Petaling Jaya, Malaysia",77,New
626,Teambuild Construction Group,construction,"Singapore, Singapore",63,New
627,51Talk,e-learning,"Singapore, Singapore",76,New
628,"Tremco Construction Products Group, Asia Pacific",construction,"Singapore, Singapore",81,New
629,Panasonic Asia Pacific,electrical/electronic manufacturing,"Singapore, Singapore",70,New
630,National University of Malaysia (UKM),higher education,"Bangi, Malaysia",88,New
631,BW LPG,maritime,"Singapore, Singapore",69,New
632,NETS,financial services,"Singapore, Singapore",84,New
633,CMC Engineering Sdn Bhd,telecommunications,"Ampang, Malaysia",88,New
634,Motul Asia Pacific,oil & energy,"Singapore, Singapore",78,New
635,Mi Equipment,semiconductors,"Bayan Lepas, Malaysia",82,New
636,MGB Berhad,construction,"Petaling Jaya, Malaysia",93,New
637,FPSO Ventures,oil & energy,"Kuala Lumpur, Malaysia",81,New
638,Aster,chemicals,"Singapore, Singapore",76,New
639,"Love, Bonito",apparel & fashion,"Singapore, Singapore",84,New
640,Watsons Singapore,retail,"Singapore, Singapore",75,New
641,Berge Bulk,maritime,"Singapore, Singapore",81,New
642,Singapore Jobs,marketing & advertising,"Singapore, Singapore",78,New
643,Beam Mobility,consumer services,"Singapore, Singapore",86,New
644,Hubble.Build,information technology & services,"Singapore, Singapore",63,New
645,Perbadanan Usahawan Nasional Berhad (PUNB),financial services,"Kuala Lumpur, Malaysia",91,New
646,Asian Technology Solutions,information technology & services,"Singapore, Singapore",73,New
647,Vestigo Petroleum Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",62,New
648,Fraser & Neave Holdings Bhd (F&N),food & beverages,"Shah Alam, Malaysia",75,New
649,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),government relations,"Kuala Lumpur, Malaysia",80,New
650,ICE Petroleum,oil & energy,Malaysia,74,New
651,Gear Inc.,outsourcing/offshoring,"Singapore, Singapore",93,New
652,DyStar,chemicals,"Singapore, Singapore",95,New
653,Public Works Department Malaysia [Jabatan Kerja Raya Malaysia],civil engineering,"Kuala Lumpur, Malaysia",90,New
654,Sime Darby Motors,automotive,"Petaling Jaya, Malaysia",73,New
655,Pan-United Corporation,construction,"Singapore, Singapore",84,New
656,UTAC,semiconductors,"Singapore, Singapore",78,New
657,Structo,machinery,"Singapore, Singapore",98,New
658,ADVANCE.AI,information technology & services,"Singapore, Singapore",67,New
659,IMU University,higher education,Malaysia,82,New
660,Novade Solutions,information technology & services,"Singapore, Singapore",95,New
661,Halcon Primo Logistics,logistics & supply chain,"Singapore, Singapore",73,New
662,BMW Group Malaysia,automotive,"Cyberjaya, Malaysia",84,New
663,VentureBlick,"health, wellness & fitness","Singapore, Singapore",73,New
664,"Ministry of Education, Singapore (MOE)",education management,"Singapore, Singapore",73,New
665,Experian Asia Pacific,information services,"Singapore, Singapore",71,New
666,YCP,management consulting,"Singapore, Singapore",67,New
667,Workfall,information technology & services,"Singapore, Singapore",63,New
668,Beyonics Pte Ltd,machinery,"Singapore, Singapore",75,New
669,Rwna Engineering Sdn Bhd,oil & energy,Malaysia,77,New
670,Sengkang General Hospital,hospital & health care,"Singapore, Singapore",97,New
671,Multimedia University,higher education,"Cyberjaya, Malaysia",90,New
672,Siong Construction & Engineering Pte Ltd,civil engineering,"Singapore, Singapore",84,New
673,Lazada Logistics Malaysia,transportation/trucking/railroad,"Subang Jaya, Malaysia",69,New
674,EMURGO,information technology & services,"Singapore, Singapore",61,New
675,Asian Football Confederation (AFC),sports,"Kuala Lumpur, Malaysia",76,New
676,Etika Group of Companies,food & beverages,"Bandar Baru Bangi, Malaysia",60,New
677,Universiti Tenaga Nasional,government administration,"Seri Kembangan, Malaysia",99,New
678,SIN-KUNG LOGISTICS BERHAD,logistics & supply chain,"Shah Alam, Malaysia",96,New
679,DayOne,information technology & services,"Singapore, Singapore",81,New
680,Digile,information technology & services,"Singapore, Singapore",63,New
681,Berlitz Marine & Offshore Group,maritime,"Singapore, Singapore",76,New
682,RRecruiter,human resources,"Singapore, Singapore",84,New
683,Virtuos,computer games,"Singapore, Singapore",75,New
684,Singapore University of Technology and Design (SUTD),higher education,"Singapore, Singapore",80,New
685,PURETECH ENGINEERING PTE LTD,construction,"Singapore, Singapore",69,New
686,Aonic,aviation & aerospace,"Subang Jaya, Malaysia",67,New
687,BreadTalk Group Pte Ltd,food & beverages,"Singapore, Singapore",75,New
688,Affle,information technology & services,"Singapore, Singapore",84,New
689,The Polyolefin Company (Singapore) Pte Ltd,chemicals,"Singapore, Singapore",70,New
690,Grand Venture Technology Private Limited,machinery,"Singapore, Singapore",70,New
691,REC,renewables & environment,"Singapore, Singapore",79,New
692,Wehaya Sdn. Bhd.,oil & energy,"Miri, Malaysia",66,New
693,Millennium Technology Services,information technology & services,"Singapore, Singapore",80,New
694,Sapaad,information technology & services,"Singapore, Singapore",72,New
695,VariFlight,airlines/aviation,"Singapore, Singapore",88,New
696,Samsonite Group APAC & Middle East,mechanical or industrial engineering,"Singapore, Singapore",96,New
697,bolttech,insurance,"Singapore, Singapore",74,New
698,"Shimizu Corporation, Singapore Office",construction,"Singapore, Singapore",96,New
699,AIA Malaysia,insurance,"Kuala Lumpur, Malaysia",75,New
700,JurongHealth Campus,hospital & health care,"Singapore, Singapore",63,New
701,Changi Airports International Pte Ltd,airlines/aviation,"Singapore, Singapore",84,New
702,Zak World of Façades,events services,"Singapore, Singapore",67,New
703,Manpower Malaysia,staffing & recruiting,"Kuala Lumpur, Malaysia",71,New
704,Pos Logistics Berhad,logistics & supply chain,"Subang Jaya, Malaysia",70,New
705,Micron Concept Aerostructures Sdn Bhd,aviation & aerospace,"Shah Alam, Malaysia",61,New
706,PRIVASIA Technology Berhad,information technology & services,"Petaling Jaya, Malaysia",60,New
707,Kossan Rubber Industries Bhd.,medical devices,"Kapar, Malaysia",94,New
708,TSH Resources Berhad,machinery,"Kuala Lumpur, Malaysia",74,New
709,kuubiik,outsourcing/offshoring,"Singapore, Singapore",60,New
710,TERENGGANU INC,investment management,"Kuala Terengganu, Malaysia",67,New
711,RichLand Logistics,logistics & supply chain,"Singapore, Singapore",66,New
712,AFFIN Group,banking,"Kuala Lumpur, Malaysia",69,New
713,Aventra Group,information technology & services,"Kuala Lumpur, Malaysia",79,New
714,Works,information technology & services,"Singapore, Singapore",61,New
715,FM Global Logistics,logistics & supply chain,"Pelabuhan Klang, Malaysia",90,New
716,TRD Singapore,defense & space,"Singapore, Singapore",73,New
717,Tunku Abdul Rahman University of Management and Technology,higher education,"Kuala Lumpur, Malaysia",81,New
718,Azeus Systems Limited,information technology & services,"Singapore, Singapore",68,New
719,Porsche Asia Pacific Pte Ltd,automotive,"Singapore, Singapore",91,New
720,Aden Group,facilities services,"Singapore, Singapore",99,New
721,Grow Asia,staffing & recruiting,"Singapore, Singapore",79,New
722,coto,"health, wellness & fitness","Singapore, Singapore",83,New
723,Invest Selangor Berhad,nonprofit organization management,"Shah Alam, Malaysia",65,New
724,Gobi Partners,venture capital & private equity,"Kuala Lumpur, Malaysia",96,New
725,Shimadzu (Asia Pacific),research,"Singapore, Singapore",80,New
726,Stratus Automation Sdn. Bhd.,machinery,"Bayan Lepas, Malaysia",72,New
727,Maxima Global Executive Search,staffing & recruiting,"Singapore, Singapore",95,New
728,JJ-Lurgi,machinery,"Shah Alam, Malaysia",74,New
729,HS Aerosystem Sdn. Bhd.,aviation & aerospace,"Labu, Malaysia",63,New
730,RecruitFirst,human resources,"Singapore, Singapore",86,New
731,SF INTERNATIONAL,logistics & supply chain,"Singapore, Singapore",64,New
732,Thakral One,information technology & services,"Singapore, Singapore",90,New
733,UMW,investment management,"Kuala Lumpur, Malaysia",84,New
734,MAB Kargo (MASkargo),airlines/aviation,"Sepang, Malaysia",73,New
735,GS Engineering & Construction – Hock Lian Seng Infrastructure Joint Venture,construction,"Singapore, Singapore",82,New
736,Malaysian Communications and Multimedia Commission,telecommunications,"Cyberjaya, Malaysia",84,New
737,Lianson Fleet Group Berhad,oil & energy,"Kuala Lumpur, Malaysia",75,New
738,Universiti Tunku Abdul Rahman (UTAR),higher education,"Kampar, Malaysia",87,New
739,SapuraOMV Upstream (Sarawak) Inc.,oil & energy,"Kuala Lumpur, Malaysia",99,New
740,Shiji Group,information technology & services,"Singapore, Singapore",68,New
741,ASE Electronics (M) Sdn Bhd,semiconductors,"Bayan Lepas, Malaysia",62,New
742,Prudential Assurance Company Singapore,financial services,"Singapore, Singapore",84,New
743,FlyFirefly Sdn Bhd,airlines/aviation,"Petaling Jaya, Malaysia",61,New
744,Intership Offshore,oil & energy,"Singapore, Singapore",96,New
745,Aryan Solutions Pte Ltd,information technology & services,"Singapore, Singapore",74,New
746,WorldFish,research,"Batu Maung, Malaysia",72,New
747,Atomic Recruitment SEA,human resources,"Singapore, Singapore",83,New
748,Cube Highways,investment management,"Singapore, Singapore",97,New
749,Azbil Southeast Asia & India,machinery,"Singapore, Singapore",94,New
750,Randstad Malaysia,staffing & recruiting,"Kuala Lumpur, Malaysia",86,New
751,Samwoh Corporation Pte Ltd,construction,"Singapore, Singapore",66,New
752,Malaysia University of Science and Technology,education management,"Petaling Jaya, Malaysia",82,New
753,Gentari,renewables & environment,"Kuala Lumpur, Malaysia",77,New
754,SKOM Sdn. Bhd.,maritime,"Kuala Lumpur, Malaysia",60,New
755,WCT Construction Sdn Bhd,civil engineering,"Petaling Jaya, Malaysia",88,New
756,Kemaman Bitumen Company Sdn Bhd,oil & energy,"Shah Alam, Malaysia",81,New
757,Chemical Company of Malaysia Berhad,chemicals,"Petaling Jaya, Malaysia",61,New
758,Kelington Group Berhad,facilities services,"Shah Alam, Malaysia",72,New
759,CPF Board,government administration,"Singapore, Singapore",96,New
760,SLNG - Singapore LNG Corporation Pte Ltd,oil & energy,"Singapore, Singapore",84,New
761,TIME dotCom Berhad,telecommunications,"Shah Alam, Malaysia",98,New
762,Dayang Enterprise Sdn Bhd,oil & energy,"Miri, Malaysia",64,New
763,BCA Academy,higher education,"Singapore, Singapore",60,New
764,Audex Pte Ltd,oil & energy,"Singapore, Singapore",84,New
765,ShopBack,information technology & services,"Singapore, Singapore",90,New
766,UTRACON Group,information technology & services,"Singapore, Singapore",99,New
767,KS Drilling,oil & energy,"Singapore, Singapore",80,New
768,Cetas Healthcare,market research,"Singapore, Singapore",92,New
769,HASK,oil & energy,"Singapore, Singapore",92,New
770,Universiti Pertahanan Nasional Malaysia,defense & space,"Kuala Lumpur, Malaysia",75,New
771,CJ Century Logistics Holdings Berhad,logistics & supply chain,"Kapar, Malaysia",96,New
